## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT align.sorted.rg.bam --OUTPUT align.dedup.bam --METRICS_FILE markDuplicatesMetrics.txt --ASSUME_SORTED true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 07 18:39:28 CEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
2845856850	64004	24066235	15355580	143620	4079	204174	0	0.008557	1410324562

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	23670227	23670227
2.0	1.98308	183184	183184
3.0	2.949528	6288	6288
4.0	3.899623	1535	1535
5.0	4.833643	518	518
6.0	5.75186	183	183
7.0	6.654541	82	82
8.0	7.541949	26	26
9.0	8.414343	16	16
10.0	9.271976	1	1
11.0	10.115098	0	0
12.0	10.943955	1	1
13.0	11.758788	0	0
14.0	12.559835	0	0
15.0	13.347328	0	0
16.0	14.121497	0	0
17.0	14.882568	0	0
18.0	15.630762	0	0
19.0	16.366296	0	0
20.0	17.089386	0	0
21.0	17.800241	0	0
22.0	18.499069	0	0
23.0	19.186073	0	0
24.0	19.861453	0	0
25.0	20.525406	0	0
26.0	21.178125	0	0
27.0	21.819801	0	0
28.0	22.45062	0	0
29.0	23.070765	0	0
30.0	23.680418	0	0
31.0	24.279756	0	0
32.0	24.868954	0	0
33.0	25.448182	0	0
34.0	26.01761	0	0
35.0	26.577404	0	0
36.0	27.127726	0	0
37.0	27.668737	0	0
38.0	28.200594	0	0
39.0	28.723453	0	0
40.0	29.237465	0	0
41.0	29.74278	0	0
42.0	30.239546	0	0
43.0	30.727906	0	0
44.0	31.208004	0	0
45.0	31.679978	0	0
46.0	32.143967	0	0
47.0	32.600105	0	0
48.0	33.048526	0	0
49.0	33.48936	0	0
50.0	33.922735	0	0
51.0	34.348777	0	0
52.0	34.767611	0	0
53.0	35.179359	0	0
54.0	35.58414	0	0
55.0	35.982072	0	0
56.0	36.373272	0	0
57.0	36.757852	0	0
58.0	37.135926	0	0
59.0	37.507603	0	0
60.0	37.872991	0	0
61.0	38.232197	0	0
62.0	38.585325	0	0
63.0	38.932478	0	0
64.0	39.273758	0	0
65.0	39.609264	0	0
66.0	39.939093	0	0
67.0	40.263341	0	0
68.0	40.582104	0	0
69.0	40.895473	0	0
70.0	41.203539	0	0
71.0	41.506394	0	0
72.0	41.804124	0	0
73.0	42.096817	0	0
74.0	42.384558	0	0
75.0	42.66743	0	0
76.0	42.945516	0	0
77.0	43.218897	0	0
78.0	43.487653	0	0
79.0	43.751861	0	0
80.0	44.011599	0	0
81.0	44.266943	0	0
82.0	44.517966	0	0
83.0	44.764742	0	0
84.0	45.007342	0	0
85.0	45.245838	0	0
86.0	45.480299	0	0
87.0	45.710793	0	0
88.0	45.937386	0	0
89.0	46.160146	0	0
90.0	46.379137	0	0
91.0	46.594423	0	0
92.0	46.806066	0	0
93.0	47.014129	0	0
94.0	47.218671	0	0
95.0	47.419752	0	0
96.0	47.617431	0	0
97.0	47.811765	0	0
98.0	48.002811	0	0
99.0	48.190625	0	0
100.0	48.375261	0	0

